+--------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                        |
|   en   | datetime.distance_in_words.almost_x_years.other                              | quase %{count} anos                                                                                                                                                                                                                                                                                                                                          |
|   en   | datetime.distance_in_words.half_a_minute                                     | meio minuto                                                                                                                                                                                                                                                                                                                                                  |
|   en   | datetime.distance_in_words.less_than_x_minutes.one                           | menos de um minuto                                                                                                                                                                                                                                                                                                                                           |
|   en   | datetime.distance_in_words.less_than_x_minutes.other                         | menos de %{count} minutos                                                                                                                                                                                                                                                                                                                                    |
|   en   | datetime.distance_in_words.less_than_x_seconds.one                           | menos de 1 segundo                                                                                                                                                                                                                                                                                                                                           |
|   en   | datetime.distance_in_words.less_than_x_seconds.other                         | menos de %{count} segundos                                                                                                                                                                                                                                                                                                                                   |
|   en   | datetime.distance_in_words.over_x_years.one                                  | mais de 1 ano                                                                                                                                                                                                                                                                                                                                                |
|   en   | datetime.distance_in_words.over_x_years.other                                | mais de %{count} anos                                                                                                                                                                                                                                                                                                                                        |
|   en   | datetime.distance_in_words.x_days.one                                        | 1 dia                                                                                                                                                                                                                                                                                                                                                        |
|   en   | datetime.distance_in_words.x_days.other                                      | %{count} dias                                                                                                                                                                                                                                                                                                                                                |
|   en   | datetime.distance_in_words.x_minutes.one                                     | 1 minuto                                                                                                                                                                                                                                                                                                                                                     |
|   en   | datetime.distance_in_words.x_minutes.other                                   | %{count} minutos                                                                                                                                                                                                                                                                                                                                             |
|   en   | datetime.distance_in_words.x_months.one                                      | 1 mês                                                                                                                                                                                                                                                                                                                                                        |
|   en   | datetime.distance_in_words.x_months.other                                    | %{count} meses                                                                                                                                                                                                                                                                                                                                               |
|   en   | datetime.distance_in_words.x_seconds.one                                     | 1 segundo                                                                                                                                                                                                                                                                                                                                                    |
|   en   | datetime.distance_in_words.x_seconds.other                                   | %{count} segundos                                                                                                                                                                                                                                                                                                                                            |
|   en   | datetime.prompts.day                                                         | Dia                                                                                                                                                                                                                                                                                                                                                          |
|   en   | datetime.prompts.hour                                                        | Hora                                                                                                                                                                                                                                                                                                                                                         |
|   en   | datetime.prompts.minute                                                      | Minuto                                                                                                                                                                                                                                                                                                                                                       |
|   en   | datetime.prompts.month                                                       | Mês                                                                                                                                                                                                                                                                                                                                                          |
|   en   | datetime.prompts.second                                                      | Segundo                                                                                                                                                                                                                                                                                                                                                      |
|   en   | datetime.prompts.year                                                        | Ano                                                                                                                                                                                                                                                                                                                                                          |
|   en   | devise-custom.access                                                         | Access                                                                                                                                                                                                                                                                                                                                                       |
|   en   | devise-custom.access_control                                                 | Access Control                                                                                                                                                                                                                                                                                                                                               |
|   en   | devise-custom.change_your_password                                           | Change your password                                                                                                                                                                                                                                                                                                                                         |
|   en   | devise-custom.forgot_your_password                                           | Forgot your password?                                                                                                                                                                                                                                                                                                                                        |
|   en   | devise-custom.new_password                                                   | New password                                                                                                                                                                                                                                                                                                                                                 |
|   en   | devise-custom.provide_your_registered_email                                  | Provide your e-mail address (as registered by the system)                                                                                                                                                                                                                                                                                                    |
|   en   | devise-custom.repeat_new_password                                            | Repeat the new password                                                                                                                                                                                                                                                                                                                                      |
|   en   | devise-custom.send_me_instructions_to_generate_a_new_password                | Send me instructions to generate a new password                                                                                                                                                                                                                                                                                                              |
|   en   | devise.confirmations.confirmed                                               | Your email address has been successfully confirmed.                                                                                                                                                                                                                                                                                                          |
|   en   | devise.confirmations.send_instructions                                       | You will receive an email with instructions for how to confirm your email address in a few minutes.                                                                                                                                                                                                                                                          |
|   en   | devise.confirmations.send_paranoid_instructions                              | If your email address exists in our database, you will receive an email with instructions for how to confirm your email address in a few minutes.                                                                                                                                                                                                            |
|   en   | devise.failure.already_authenticated                                         | You are already signed in.                                                                                                                                                                                                                                                                                                                                   |
|   en   | devise.failure.inactive                                                      | Your account is not activated yet.                                                                                                                                                                                                                                                                                                                           |
|   en   | devise.failure.invalid                                                       | Invalid email or password.                                                                                                                                                                                                                                                                                                                                   |
|   en   | devise.failure.invalid_token                                                 | Token de autenticação inválido.                                                                                                                                                                                                                                                                                                                              |
|   en   | devise.failure.last_attempt                                                  | You have one more attempt before your account is locked.                                                                                                                                                                                                                                                                                                     |
|   en   | devise.failure.locked                                                        | Your account is locked.                                                                                                                                                                                                                                                                                                                                      |
