+--------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | activemodel.messages.invalid                                                 | é inválido                                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | activemodel.messages.less_than                                               | tem de ser menor que %{count}                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | activemodel.messages.less_than_or_equal_to                                   | tem de ser menor ou igual a %{count}                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activemodel.messages.not_a_number                                            | não é um numeral                                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | activemodel.messages.not_an_integer                                          | tem de ser um inteiro                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | activemodel.messages.odd                                                     | tem de ser ímpar                                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | activemodel.messages.record_invalid                                          | A validação falhou: %{errors}                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | activemodel.messages.taken                                                   | não está disponível (pois este dado já consta do sistema)                                                                                                                                                                                                                                                                                                    |
| pt_BR  | activemodel.messages.too_long                                                | é demasiado grande (o máximo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                       |
| pt_BR  | activemodel.messages.too_short                                               | é demasiado pequeno (o mínimo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                      |
| pt_BR  | activemodel.messages.wrong_length                                            | comprimento errado (deve ter %{count} caracteres)                                                                                                                                                                                                                                                                                                            |
| pt_BR  | activemodel.template.body                                                    | Por favor, verifique os seguintes campos:                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | activemodel.template.header.one                                              | Não foi possível guardar %{model}: 1 erro                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | activemodel.template.header.other                                            | Não foi possível guardar %{model}: %{count} erros                                                                                                                                                                                                                                                                                                            |
| pt_BR  | activerecord.attributes.academiccategory.name                                | Nome                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.attributes.address.header                                       | Local                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | activerecord.attributes.annotation.net                                       | Impacto                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | activerecord.attributes.annotation.virtual.manual                            | Manual                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | activerecord.attributes.college.area                                         | Área (m²)                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | activerecord.attributes.completion.failure                                   | reprovado                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | activerecord.attributes.degreetype.pap                                       | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.diploma.pap                                          | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.event.virtual.numdays                                | Subtotal                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | activerecord.attributes.institution.pap                                      | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.leavetype.pap                                        | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.municipality.capital                                 | Capital                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | activerecord.attributes.payroll.pap                                          | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.payroll.purse                                        | Bolsa                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | activerecord.attributes.phone.fax                                            | Fax                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.profession.pap                                       | Pap                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.professionalarea.pap                                 | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.professionalfamily.pap                               | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.professionalspecialty.pap                            | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.program.pap                                          | Pap                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.programsupervisor.lead                               | Principal                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | activerecord.attributes.registration.virtual.actualabsences                  | Ausências                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | activerecord.attributes.registrationkind.regular                             | Normal                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | activerecord.attributes.role.pap                                             | Pap                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.scholarship.pap                                      | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.schoolterm.pap                                       | Pap                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.taxation.pap                                         | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.user.email                                           | E-mail                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | activerecord.attributes.vacancyallocation.institution_id                     | instituição                                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | activerecord.attributes.webinfo.email                                        | E-mail                                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | activerecord.attributes.webinfo.facebook                                     | Facebook                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | activerecord.attributes.webinfo.site                                         | Site                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.attributes.webinfo.twitter                                      | Twitter                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | activerecord.errors.delete_restriction                                       | Delete restriction                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | activerecord.errors.messages.inclusion                                       | : campo não pode ser incluído da forma indicada.  Tente marcá-lo ou desmarcá-lo, caso seja booleano ('sim ou não').  Também é possível que existam múltiplas opções assinaladas onde somente uma é permitida.  Pode ser também um conflito de lógica com outro campo, que precisaria ser preenchido com um valor válido ou excluído, dependendo da situação. |
| pt_BR  | activerecord.errors.pap1form.attributes.num_volumes.present                  | não pode ser informado se o campo "biblioteca" estiver desmarcado.                                                                                                                                                                                                                                                                                           |
| pt_BR  | activerecord.errors.pap1form.attributes.outros_equipamentos.present          | não podem ser informados se a opção "possui outros equipamentos?" estiver desmarcada.                                                                                                                                                                                                                                                                        |
| pt_BR  | activerecord.errors.pap1form.attributes.quais_beneficios_alunos.present      | não podem ser informados se a opção "fornece outros benefícios?" estiver desmarcada.                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.errors.pap1form.attributes.quais_modalidades_ensino_sup.present | não podem ser detalhadas se vocẽ não "ticou" sim na opção "possui outras modalidades de ensino superior".                                                                                                                                                                                                                                                    |
| pt_BR  | activerecord.errors.role.attributes.clerical.inclusion                       | apenas um tipo de perfil pode ser escolhido.                                                                                                                                                                                                                                                                                                                 |
| pt_BR  | activerecord.errors.role.attributes.management.inclusion                     | apenas um tipo de perfil pode ser escolhido.                                                                                                                                                                                                                                                                                                                 |
| pt_BR  | activerecord.errors.role.attributes.teaching.inclusion                       | apenas um tipo de perfil pode ser escolhido.                                                                                                                                                                                                                                                                                                                 |
| pt_BR  | activerecord.errors.user.attributes.admin.inclusion                          | só pode ser incluído se for o único.                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.errors.user.attributes.adminreadonly.inclusion                  | só pode ser incluído se for o único.                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.errors.user.attributes.pap.inclusion                            | só pode ser incluído se for o único.                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.errors.user.attributes.paprh.inclusion                          | só pode ser incluído se for o único.                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.errors.user.attributes.resmed.inclusion                         | só pode ser incluído se for o único.                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.errors.user.attributes.resmedrh.inclusion                       | só pode ser incluído se for o único.                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.errors.webinfo.attributes.site.incorrect                        | digitado incorretamente.  Não é necessário iniciar com http://                                                                                                                                                                                                                                                                                               |
| pt_BR  | activerecord.registration.accreditation.renewal                              | Renewal                                                                                                                                                                                                                                                                                                                                                      |
| pt_BR  | annotation                                                                   | Annotation                                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | area.gradcert.abbreviation                                                   | ESP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | area.gradcert.fullname                                                       | Programa de Especialização                                                                                                                                                                                                                                                                                                                                   |
| pt_BR  | area.medres.abbreviation                                                     | RM                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | area.medres.fullname                                                         | Programa de Residência Médica                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | area.pap.abbreviation                                                        | PAP                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | area.pap.fullname                                                            | Programa de Aprimoramento Profissional                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | cloning_process_start                                                        | Início do processo de clonagem                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | contact_removal_lock.student                                                 | A remoção do contato não é permitida se houverem dados de bolsista cadastrados.                                                                                                                                                                                                                                                                              |
| pt_BR  | current schoolterm                                                           | período letivo atual                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | current_program                                                              | Programa atual (pai)                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | current_programs_detailed_info                                               | Detalhamento dos programas atuais                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | data_saved                                                                   | Dados salvos.                                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | date.formats.compact                                                         | %-d-%b-%y                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | date.formats.compactmonthyear                                                | %b/%y                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | date.formats.dashed                                                          | %d—%m—%Y                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | date.formats.default                                                         | %d/%m/%Y                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | date.formats.inverted                                                        | %_y_%b_%d                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | date.formats.long                                                            | %d de %B de %Y                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | date.formats.seeder                                                          | %-Y-%m-%d                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | date.formats.seeofr                                                          | %-Y-%m-%d                                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | date.formats.short                                                           | %d de %B                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | date.formats.underscore                                                      | %d_%b_%y                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | date.formats.unofrscore                                                      | %d_%b_%y                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | date.formats.ymd                                                             | %Y-%m-%d                                                                                                                                                                                                                                                                                                                                                     |
| pt_BR  | datetime.distance_in_words.about_x_hours.one                                 | aproximadamente 1 hora                                                                                                                                                                                                                                                                                                                                       |
| pt_BR  | datetime.distance_in_words.about_x_hours.other                               | aproximadamente %{count} horas                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | datetime.distance_in_words.about_x_months.one                                | aproximadamente 1 mês                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | datetime.distance_in_words.about_x_months.other                              | aproximadamente %{count} meses                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | datetime.distance_in_words.about_x_years.one                                 | aproximadamente 1 ano                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | datetime.distance_in_words.about_x_years.other                               | aproximadamente %{count} anos                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | datetime.distance_in_words.almost_x_years.one                                | quase 1 ano                                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | datetime.distance_in_words.almost_x_years.other                              | quase %{count} anos                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | datetime.distance_in_words.half_a_minute                                     | meio minuto                                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | datetime.distance_in_words.less_than_x_minutes.one                           | menos de um minuto                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | datetime.distance_in_words.less_than_x_minutes.other                         | menos de %{count} minutos                                                                                                                                                                                                                                                                                                                                    |
| pt_BR  | datetime.distance_in_words.less_than_x_seconds.one                           | menos de 1 segundo                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | datetime.distance_in_words.less_than_x_seconds.other                         | menos de %{count} segundos                                                                                                                                                                                                                                                                                                                                   |
