+--------+---------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                               | Value in other locales or source                                                                                                                                                                                           |
| pt_BR  | actions.duration_between                          | en Duration between                                                                                                                                                                                                        |
| pt_BR  | actions.excluded.f                                | en excluded                                                                                                                                                                                                                |
| pt_BR  | actions.excluded.m                                | en excluded                                                                                                                                                                                                                |
| pt_BR  | actions.excluded.pl                               | en excluded                                                                                                                                                                                                                |
| pt_BR  | actions.found.f                                   | en found                                                                                                                                                                                                                   |
| pt_BR  | actions.found.m                                   | en found                                                                                                                                                                                                                   |
| pt_BR  | actions.fullname.gradcert                         | en Graduate Certificate Program                                                                                                                                                                                            |
| pt_BR  | actions.fullname.medres                           | en Medical Residency Program                                                                                                                                                                                               |
| pt_BR  | actions.fullname.pap                              | en Professional Advancement Program                                                                                                                                                                                        |
| pt_BR  | actions.gender.F                                  | en Feminine                                                                                                                                                                                                                |
| pt_BR  | actions.gender.M                                  | en Masculine                                                                                                                                                                                                               |
| pt_BR  | actions.gender.X                                  | en Undefined/Intersexes/Not specified                                                                                                                                                                                      |
| pt_BR  | actions.inactive.f                                | en inactive                                                                                                                                                                                                                |
| pt_BR  | actions.inactive.m                                | en inactive                                                                                                                                                                                                                |
| pt_BR  | actions.institution_removal_lock.medicalresidency | en System warning: unable to remove an institution which is related to the Medical Residency Program, if that is what you meant.                                                                                           |
| pt_BR  | actions.institution_removal_lock.notprovisional   | en System warning: unable to remove an institution with once its data is confirmed.  If you really intended to do so, you must first flag it as having provisional (incomplete, inacurate, etc) data.                      |
| pt_BR  | actions.institution_removal_lock.pap              | en System warning: unable to remove an institution which belongs to the PAP.  If you really intended to do so, uncheck the respective option and try again.                                                                |
| pt_BR  | actions.institution_removal_lock.withprograms     | en System warning: unable to remove an institution with programs (recorded in the database).  If you really intended to do so, its programs must first be removed.                                                         |
| pt_BR  | actions.institution_removal_lock.withuser         | en System warning: unable to remove an institution with users (recorded in the database).  If you really intended to do so, its users must first be removed.                                                               |
| pt_BR  | actions.institution_with_users.all                | en Institutions with users                                                                                                                                                                                                 |
| pt_BR  | actions.institution_with_users.medres             | en Institutions with MRes users                                                                                                                                                                                            |
| pt_BR  | actions.institution_with_users.pap                | en Institutions with PAP users                                                                                                                                                                                             |
| pt_BR  | actions.max_num_scholarships_offered.medres       | en Maximum number of scholarships offered                                                                                                                                                                                  |
| pt_BR  | actions.max_num_scholarships_offered.pap          | en Maximum number of scholarships offered                                                                                                                                                                                  |
