+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                            |
|   en   | datetime.distance_in_words.x_seconds.one                                     | 1 second                                                                                                                                                                                                                                                                                                                                                         |
|   en   | datetime.distance_in_words.x_seconds.other                                   | %{count} seconds                                                                                                                                                                                                                                                                                                                                                 |
|   en   | datetime.prompts.day                                                         | Day                                                                                                                                                                                                                                                                                                                                                              |
|   en   | datetime.prompts.hour                                                        | Hour                                                                                                                                                                                                                                                                                                                                                             |
|   en   | datetime.prompts.minute                                                      | Minute                                                                                                                                                                                                                                                                                                                                                           |
|   en   | datetime.prompts.month                                                       | Month                                                                                                                                                                                                                                                                                                                                                            |
|   en   | datetime.prompts.second                                                      | Second                                                                                                                                                                                                                                                                                                                                                           |
|   en   | datetime.prompts.year                                                        | Year                                                                                                                                                                                                                                                                                                                                                             |
|   en   | devise-custom.access                                                         | Access                                                                                                                                                                                                                                                                                                                                                           |
|   en   | devise-custom.access_control                                                 | Access Control                                                                                                                                                                                                                                                                                                                                                   |
|   en   | devise-custom.change_your_password                                           | Change your password                                                                                                                                                                                                                                                                                                                                             |
|   en   | devise-custom.forgot_your_password                                           | Forgot your password?                                                                                                                                                                                                                                                                                                                                            |
|   en   | devise-custom.new_password                                                   | New password                                                                                                                                                                                                                                                                                                                                                     |
|   en   | devise-custom.provide_your_registered_email                                  | Provide your e-mail address (as registered by the system)                                                                                                                                                                                                                                                                                                        |
|   en   | devise-custom.repeat_new_password                                            | Repeat the new password                                                                                                                                                                                                                                                                                                                                          |
|   en   | devise-custom.send_me_instructions_to_generate_a_new_password                | Send me instructions to generate a new password                                                                                                                                                                                                                                                                                                                  |
|   en   | devise.confirmations.confirmed                                               | Your email address has been successfully confirmed.                                                                                                                                                                                                                                                                                                              |
|   en   | devise.confirmations.send_instructions                                       | You will receive an email with instructions for how to confirm your email address in a few minutes.                                                                                                                                                                                                                                                              |
|   en   | devise.confirmations.send_paranoid_instructions                              | If your email address exists in our database, you will receive an email with instructions for how to confirm your email address in a few minutes.                                                                                                                                                                                                                |
|   en   | devise.failure.already_authenticated                                         | You are already signed in.                                                                                                                                                                                                                                                                                                                                       |
|   en   | devise.failure.inactive                                                      | Your account is not activated yet.                                                                                                                                                                                                                                                                                                                               |
|   en   | devise.failure.invalid                                                       | Invalid email or password.                                                                                                                                                                                                                                                                                                                                       |
|   en   | devise.failure.invalid_token                                                 | Token de autenticação inválido.                                                                                                                                                                                                                                                                                                                                  |
|   en   | devise.failure.last_attempt                                                  | You have one more attempt before your account is locked.                                                                                                                                                                                                                                                                                                         |
